name,rating,phone,address,website,rating_quality,price,hotel_id
Four Points by Sheraton Bogota,4.5,+1 844-631-0595,"Carrera 18 93 83, Bogota 110221 Colombia",,Excellent,348171.0,7107178
NH Bogota Urban 26 Royal,4.5,+1 212-245-5462,"Carrera 33 No. 25F-18, Bogota 111321 Colombia",,Excellent,167440.0,5308199
Ibis Bogota Museo,4.0,,"Transversal 6 27 85 Centro Internacional, Bogota 110311 Colombia",https://www.tripadvisor.com,Very good,148805.0,1860302
DoubleTree by Hilton Hotel Bogota - Parque 93,4.5,+1 855-605-0318,"Carrera 11b 96 - 59, Bogota 111511 Colombia",,Excellent,415927.0,3236035
The Click Clack Hotel Bogota,4.0,+5746043232,"Carrera 11 93 77, Bogota 110221 Colombia",,Very good,377213.0,4954615
Hotel Dann Carlton Bogota,4.5,,"Avenida 15 No. 103-60, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,254348.0,307008
City Express Junior Bogota Aeropuerto,3.5,,"Diagonal 25G 95-66 Fontibon, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,181027.0,11960527
City Express Plus Bogota Aeropuerto,4.0,,"Diagonal 25G 95 - 66 Fontibon, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,254250.0,12043781
Hotel Estelar Suites Jones,4.5,,"Calle 61 No 5 39, Bogota . Colombia",https://www.tripadvisor.com,Excellent,180669.0,1208258
Hotel Casa Paulina,4.0,,"Calle 63 #17-18 Calle 63 # 17-18, Bogota 4665684 Colombia",https://www.tripadvisor.com,Very good,58800.0,1028213
Hotel Santa Barbara Real,3.5,318 2816711,"Calle 127 No 7 - 89, Bogota Colombia",,Very good,146397.0,1793992
Hotel bh Bicentenario,4.0,,"Carrera 4 # 16-03, Bogota 111711 Colombia",https://www.tripadvisor.com,Very good,162657.0,4741990
Hotel Casa Sarita,4.0,,"Diagonal 54 # 23-45, Bogota 111221 Colombia",https://www.tripadvisor.com,Very good,58800.0,2429622
NH Collection Bogota Hacienda Royal,4.5,+1 212-245-5462,"Calle 114 No 6 - 02, Bogota Colombia",,Excellent,256265.0,301549
Sheraton Bogota Hotel,4.5,+1 844-631-0595,"Calle 25bs 69 C-80, Bogota 110421 Colombia",,Excellent,405111.0,301849
NH Collection Bogota Royal Teleport,4.5,+1 212-245-5462,"Calle 113 NUMBER 7 65, Bogota 110111 Colombia",,Excellent,311630.0,301557
Embassy Suites by Hilton Bogota Rosales,4.5,+1 855-605-0319,"Calle 70 No. 6-22, Bogota 110231 Colombia",,Excellent,408782.0,300667
Sofitel Bogota Victoria Regia Hotel,4.5,,"Carrera 13 85 80 Cundinamarca, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,784235.0,299375
Masaya Hostel Bogota,4.5,,"Carrera 2 # 12-48 La Candelaria, Bogota 111711 Colombia",https://www.tripadvisor.com,Excellent,225792.0,2388686
Salvio parque 93 Aparta Suites,5.0,,"Carrera 12 93 75, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,807637.0,17695309
Courtyard by Marriott Bogota Airport,4.5,+1 844-631-0595,"Avenida Calle 26, 96 J-90 96 J-90, Bogota 110911 Colombia",,Excellent,322803.0,8516461
100 Luxury Suites,4.5,,"Carrera 9A #98-03, Bogota 110411 Colombia",https://www.tripadvisor.com,Excellent,287798.0,6588128
Hotel de la Opera,4.5,,"Calle 10 No. 5-72, Calle del Coliseo La Candelaria Historical Center, Bogota 111711 Colombia",https://www.tripadvisor.com,Excellent,426645.0,455405
Hotel Estelar La Fontana,4.5,(601) 5867987,"Avenida 127 No. 15A - 10, Bogota 101281 Colombia",,Excellent,291168.0,307341
Casa Dann Carlton Hotel & Spa,4.5,,"Calle 93b 19 44, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,302147.0,307004
Hotel Bioxury,4.0,,"Calle 83 No. 9 – 48 El Retiro, Bogota 110011 Colombia",https://www.tripadvisor.com,Very good,390529.0,3849683
"Holiday Inn Express & Suites Bogota DC, An IHG Hotel",4.5,,"Carrera 7 67 39, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,221459.0,7134936
Hampton by Hilton Bogota Airport,4.0,+1 855-605-0317,"Calle 25s # 73B-90, Bogota 111821 Colombia",,Very good,237150.0,12678502
Grand Park Hotel,4.0,,"Carrera 5 No. 23-34, Bogota 11101 Colombia",https://www.tripadvisor.com,Very good,204619.0,562296
Hab Hotel,4.5,,"Carrera 5 58 07 Corner House, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,240409.0,23367951
GHL Hotel Tequendama Bogota,4.0,,"Carrera 10 No 26-21, Bogota 111411 Colombia",https://www.tripadvisor.com,Very good,223579.0,299103
B.O.G. Hotel,4.5,+5716399999,"Carrera 11 86 - 74, Bogota 110221 Colombia",,Excellent,722828.0,2624584
Aloft Bogota Airport,4.0,+1 844-631-0595,"Avenida Calle 26 #92 - 32, Bogota 110911 Colombia",,Very good,199807.0,2431783
Indian Palace.,4.5,,"Calle 108 48 31, Bogota 111111 Colombia",https://www.tripadvisor.com,Excellent,183150.0,1158577
Estadia El Dorado,5.0,,"26-25 Carrera 100 Bis, Bogota 110911 Colombia",https://www.tripadvisor.com,Excellent,76000.0,21402471
ibis Budget Bogota Marly,4.0,,"Carrera 8 49 49, Bogota 110311 Colombia",https://www.tripadvisor.com,Very good,142500.0,23485795
GHL Style Hotel Bogota Occidente,4.5,,"Autopista Medellin Km 3.9 Costado Sur Siberia-Cota Área Metropolitana de Bogotá Zuca Plaza, Bogota 250017 Colombia",https://www.tripadvisor.com,Excellent,182638.0,14136060
Spotty Hostels,4.5,,"Calle 21 5 31, Bogota 110311 Colombia",https://www.tripadvisor.com,Excellent,149694.0,19910521
Hotel Exe Bacata 95,4.0,,"Calle 95 esquina Carrera 14, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,245908.0,5890365
Hotel Ramada Encore By Wyndham Bogota Zona Franca,4.0,,"Carrera 106 15 A 25, Bogota 110921 Colombia",https://www.tripadvisor.com,Very good,232384.0,23147086
Republica Hostel Bogota,4.0,,"Calle 68 12 28 Quinta Camacho, Bogota 110231 Colombia",https://www.tripadvisor.com,Very good,45640.0,10189855
AZ Hotel,4.5,,"Calle 24a # 44-36, Bogota 110421 Colombia",https://www.tripadvisor.com,Excellent,164981.0,8615577
Hotel Black Bogota,3.5,316 2715221,"Calle 127 No 7D - 11, Bogota 110111 Colombia",,Very good,175603.0,10364128
NH Collection Bogota WTC Royal,4.5,+1 212-245-5462,"Carrera 8a 99 55 World Trade Center, Bogota 094077 Colombia",,Excellent,179933.0,301547
Novotel Bogota Parque 93,4.5,,"Calle 93 Numero 12 41 Chico, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,328557.0,2437888
EK Hotel,4.5,,"Calle 90 11 13, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,350743.0,5288228
JW Marriott Hotel Bogota,5.0,+1 844-631-0595,"Calle 73 8-60, Bogota 110221 Colombia",,Excellent,1227488.0,1778657
Four Seasons Hotel Bogota,4.5,+5713257900,"Carrera 13 85 46, Bogota 110221 Colombia",,Excellent,1516645.0,301960
Sonesta Hotel Bogota,4.5,+5716585500,"Carrera 15A, 125-26, Bogota 110111 Colombia",,Excellent,393446.0,2091062
NH Collection Royal Terra 100,4.5,+1 212-245-5462,"Calle 100 19 70, Bogota 110111 Colombia",,Excellent,190538.0,5888191
TRYP by Wyndham Bogota Embajada,4.5,(601) 4893030,"Avenida Calle 24, No 51 40 Capital Towers Salitre, Bogota 111321-251 Colombia",,Excellent,291964.0,3501189
Muisca Hotel,4.0,,"Calle 10 # 0 - 25 Este, Bogota 111711 Colombia",https://www.tripadvisor.com,Very good,342380.0,2341607
Hotel Casa Deco,4.5,,"Calle 12c 36, Bogota 111117 Colombia",https://www.tripadvisor.com,Excellent,,1550425
One Sixteen Hotel,4.5,,"Calle 116 18b 60, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,267464.0,1955388
Bogota Marriott Hotel,4.5,+1 844-631-0595,"Av el dorado 69b 53, Bogota 110931 Colombia",,Excellent,658768.0,1469232
Cassa Luxury Homes,5.0,,"Calle 87 19 21, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,652381.0,19370581
Selina Bogota Parque 93,4.0,,"Calle 95 13 35 Torre A, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,141292.0,3584955
Cosmos 100 Hotel & Centro de Convenciones,4.5,,"Calle 100 19a - 83, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,255640.0,299430
Hotel El Dorado Bogota,4.5,(601) 3163400,"Calle 95 13 66, Bogota 110221 Colombia",,Excellent,375840.0,10536124
Radisson Bogota Metrotel,4.0,+5713254445,"Calle 74 No. 13-27, Bogota 110221 Colombia",,Very good,289938.0,308388
Hotel El Virrey Centro,3.5,,"Calle 18 5 56, Bogota 110321 Colombia",https://www.tripadvisor.com,Very good,121664.0,638072
Hotel Santa Cruz Bogota,4.5,,"Calle 22 bis, 43b - 05, Bogota 111321 Colombia",https://www.tripadvisor.com,Excellent,100820.0,3702347
Hotel Factory Green,4.0,,"Zona Industrial Calle 80 Km 3.5 Via Siberia, Bogota 571 Colombia",https://www.tripadvisor.com,Very good,162000.0,2651455
Nico Aparta Suites,4.5,,"Calle 68 # 4-62, Bogota 111221 Colombia",https://www.tripadvisor.com,Excellent,192840.0,1534171
Hotel Portofino,4.0,,"Carrera 26 # 52 A - 15, Bogota Colombia",https://www.tripadvisor.com,Very good,99250.0,2512451
Morrison 114 Hotel,4.5,,"Avenida 19 No 114 06, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,386617.0,2725758
Hotel Suite Chico,4.0,,"Calle 101 No 13A-17 Chico, Bogota 130015 Colombia",https://www.tripadvisor.com,Very good,129000.0,1210551
Hostal CQ Chapinero,3.0,,"Calle 66a #15-76, Bogota 111221 Colombia",https://www.tripadvisor.com,Average,69479.0,12103628
Mercure Bogota Calle 100,4.5,,"Transversal 23 # 98-27 Chico N Incluir Teléfono, Bogota 110010 Colombia",https://www.tripadvisor.com,Excellent,171718.0,6875164
Hotel Classic,5.0,,"Calle 25a 38a 22, Bogota 111321 Colombia",https://www.tripadvisor.com,Excellent,140000.0,2689233
Apartamentos Regency La Feria,4.0,,"Carrera 43 22-10, Bogota Colombia",https://www.tripadvisor.com,Very good,136303.0,5827171
Hotel EL Campin,3.5,,"Carrera 25 52 35, Bogota 111311 Colombia",https://www.tripadvisor.com,Very good,167000.0,1383549
Casa de Ari,2.5,,"Calle 10, no. 2 - 46 Candelaria centro, Bogota 479 Colombia",https://www.tripadvisor.com,Average,,3646787
Hyatt Place Bogota/Convention Center,5.0,(601) 4481234,"Avenida Calle 24 Nr 40-51, Bogota 111311 Colombia",,Excellent,438655.0,17784207
Best Western Plus 93 Park Hotel,4.5,,"Calle 93 No. 13-71, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,304652.0,2298572
DoubleTree by Hilton Bogota Salitre AR,4.5,+1 855-605-0318,"No. 22-99, Ave. Carrera 60, Bogota 111221 Colombia",,Excellent,347613.0,1859190
NH Bogota Boheme Royal,4.5,+1 212-245-5462,"Calle 82 No. 12 - 35 Chico, Bogota 110010 Colombia",,Excellent,307536.0,301552
Tequendama Suites by DOT Premium,4.0,,"Carrera 10 # 27-51 Int 150 Interior 150, Bogota 111411 Colombia",https://www.tripadvisor.com,Very good,252983.0,12544039
Hotel Casa Modelia,5.0,,"Barrio Modelia Carrera 82 # 22D-12, Bogota 110931 Colombia",https://www.tripadvisor.com,Excellent,119990.0,10150804
Hilton Bogota,4.5,+1 855-605-0316,"Carrera 7 No. 72-41, Bogota 110221 Colombia",,Excellent,595777.0,2153579
Bogota 100 Design Hotel,4.5,,"Calle 100 # 14 26 Chico, Localidad Chapinero, Bogota 110010 Colombia",https://www.tripadvisor.com,Excellent,157013.0,3418721
Hotel B3 Virrey,4.5,,"Carrera 15 con Calle 88 Costado Oriental, Bogota Colombia",https://www.tripadvisor.com,Excellent,205110.0,2642467
NH Bogota Urban 93 Royal,4.5,+1 212-245-5462,"Calle 93B No 18 42, Bogota 11001 Colombia",,Excellent,167578.0,2407082
Selina Chapinero Bogota,4.0,,"Calle 74 15 60, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,177970.0,15245979
"Faranda Collection Bogota, a member of Radisson Individuals",4.5,(601) 7450203,"Calle 112 13a 13 A - 45 Barrio Santa Paula, Bogota 110111 Colombia",,Excellent,231006.0,1833313
Blue Suites Hotel,4.0,,"Calle 93 17 - 48, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,176707.0,1948986
Hotel Bogota Regency Usaquen,4.0,,"Carrera 7 127 21, Bogota 110121 Colombia",https://www.tripadvisor.com,Very good,168506.0,455774
Hotel Black Tower Premium,4.0,,"Av Esperanza 43a 21, Bogota 110010 Colombia",https://www.tripadvisor.com,Very good,178298.0,6882426
Movich Chico 97 Hotel,4.5,(601) 4824466,"Carrera 11B #97-03, Bogota 110111 Colombia",,Excellent,,3348189
Viaggio Nueve Trez,4.0,,"Carrera 18 No. 93A-60, Bogota 000000 Colombia",https://www.tripadvisor.com,Very good,222650.0,2303652
"Holiday Inn Bogota Airport, an IHG Hotel",4.5,,"Avenida Calle 26 Number 69D-91, Bogota 110911 Colombia",https://www.tripadvisor.com,Excellent,419870.0,2152328
Hotel bh Parque 93,4.5,,"Carrera 14 93a 69, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,180966.0,2052492
Hotel City Bog Corferias,4.5,,"Calle 25 No. 43A 26/32, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,144018.0,21126838
Hotel Charlotte Plaza 26,4.0,,"Avenida Calle 26, #38-05, Bogota 111321 Colombia",https://www.tripadvisor.com,Very good,,6210914
Mercure Bogota BH Zona Financiera,4.0,,"Carrera 7 65 01, Bogota 110231 Colombia",https://www.tripadvisor.com,Very good,175298.0,2259167
Santa Lucia Hotel Boutique Spa,4.0,,"Calle 18, 6-27, Bogota 111711 Colombia",https://www.tripadvisor.com,Very good,178115.0,5775071
GHL Collection 93 Hotel,4.0,,"Calle 93 11a 31, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,241521.0,1849218
CGH Bogota Airport,5.0,,"Carrera 74a # 47 - 51, Bogota 111071 Colombia",https://www.tripadvisor.com,Excellent,145536.0,23864382
Mercure Bogota BH Retiro,4.0,,"Calle 80 10 11, Bogota 111011 Colombia",https://www.tripadvisor.com,Very good,210458.0,1148752
Hotel Hill House,4.0,,"Calle 120a 6 54, Bogota 110111 Colombia",https://www.tripadvisor.com,Very good,183092.0,1058099
Hotel Montecarlo,3.0,,"Calle 24d 43a-89, Bogota 11001 Colombia",https://www.tripadvisor.com,Average,75483.0,4790503
Hotel MS Oceania Confort,3.5,,"Carrera 13 No.24A - 48, Bogota 110311 Colombia",https://www.tripadvisor.com,Very good,167847.0,1811288
Hotel Embajada,3.0,,"Ak. 50 #24-10, Bogota 111321 Colombia",https://www.tripadvisor.com,Average,129825.0,13401038
Holiday Inn Express Bogota - Parque La 93,4.5,,"Calle 94 No. 11 A - 12, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,312297.0,1477798
Four Seasons Hotel Casa Medina Bogota,4.5,+5713257900,"Avenida Carrera 7 #69A-22 Cundinamarca, Bogota Colombia",,Excellent,1900957.0,301959
BS Rosales Hotel and Suites,4.5,,"Carrera 4 N. 72-22, Bogotá, Bogota 000000 Colombia",https://www.tripadvisor.com,Excellent,270913.0,8117466
Hotel Regina,4.0,,"Carrera 5 # 15-14, Bogota 250017 Colombia",https://www.tripadvisor.com,Very good,228360.0,4366853
Hampton by Hilton Bogota Usaquen,4.5,+5717469555,"Barrio Usaquen Carrera 7 118 30 Barrio Usaquen, Bogota 110111 Colombia",,Excellent,237983.0,7778660
Hotel City Bog 106,3.5,,"Carrera 8d No. 106-78, Bogota 110131 Colombia",https://www.tripadvisor.com,Very good,124402.0,12259033
Dann Avenida 19 Hotel,4.0,,"Av 19 No 5-72, Bogota 110111 Colombia",https://www.tripadvisor.com,Very good,165368.0,482475
Casa Legado,5.0,,"Carrera 8 # 69-60, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,646024.0,12879877
Casa Hotel Boyaca Real,4.5,,"Carrera 15 No. 44-44, Bogota 110010 Colombia",https://www.tripadvisor.com,Excellent,,2662911
The Cranky Croc Hostel,4.5,,"Calle 15 No. 3-46 La Candelaria, Bogota 110831 Colombia",https://www.tripadvisor.com,Excellent,290000.0,1138479
Hotel Saint Simon,4.0,,"Carrera 14 No. 81-34, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,275408.0,562566
Madisson Inn Hotel & Luxury Suites,4.5,,"Carrera 18 93 97 Barrio El Chico, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,269010.0,634884
Hotel Splendor,3.5,,"Av La Esperanza 46, Bogota 110931 Colombia",https://www.tripadvisor.com,Very good,97957.0,4203518
City Bog Expo Museo,4.0,,"Carrera 13a 32a 39, Bogota 110311 Colombia",https://www.tripadvisor.com,Very good,153000.0,2060121
Hotel Vintage,4.0,,"Calle 100 # 13-55, Bogota Colombia",https://www.tripadvisor.com,Very good,205497.0,17789893
Hotel Express 53,3.5,,"Calle 53 Numero 10-78 Calle 53 # 10-78, Bogota 110231 Colombia",https://www.tripadvisor.com,Very good,127575.0,13211910
Hotel Habitel Prime,4.5,,"Av el dorado 100 97, Bogota 110911 Colombia",https://www.tripadvisor.com,Excellent,254181.0,24930862
Hotel 84 DC,4.5,,"Barrio la Cabrera Calle 84C No 9-67 La Cabrera, Bogota 000 Colombia",https://www.tripadvisor.com,Excellent,222641.0,2519203
Hotel Estelar Calle 100,4.5,,"Calle 100 N14-46, Bogota Colombia",https://www.tripadvisor.com,Excellent,170772.0,4552430
Cora 127 Plenitud,4.0,,"Av Calle 127 No. 15-36 Local 4, Bogota Colombia",https://www.tripadvisor.com,Very good,293966.0,2298834
Hotel bh La Quinta,4.5,,"Cra. 5 No. 74-52 Cra 5 Calle 74, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,397783.0,1738358
Hotel Ariston's,3.5,,"Carrera 36 # 25-22, Bogota 111611 Colombia",https://www.tripadvisor.com,Very good,96320.0,4202059
Hotel bh Usaquen,4.0,,"Carrera 120a # 7-14, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,195108.0,8072514
Hobu Hostel,4.0,,"Carrera 9 #54 A-15, Bogota 110231 Colombia",https://www.tripadvisor.com,Very good,80960.0,10781105
Hotel Boutique Zona G,3.0,,"Calle 69 a No 5-37, Bogota 0331209 Colombia",https://www.tripadvisor.com,Average,77654.0,2287864
Hotel Radel Superior,3.0,,"Carrera 44a 24a 65, Bogota 110931 Colombia",https://www.tripadvisor.com,Average,89600.0,12214399
Hotel Casa Sabelle,3.0,,"Calle 32a 13a 20, Bogota 110311 Colombia",https://www.tripadvisor.com,Average,61933.0,4552476
Hotel Los Cerros Bogota,3.5,,"Av 19 No. 9-18, Bogota 110311 Colombia",https://www.tripadvisor.com,Very good,76167.0,562556
Hotel Boutique Quinta Camacho,5.0,,"Carrera 12 68 37, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,119700.0,23849654
Hotel Siar,3.0,,"Carrera 25 52 16, Bogota 111311 Colombia",https://www.tripadvisor.com,Average,133744.0,2485047
Cite Hotel,4.5,,"Carrera 15 88 10, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,485967.0,1735592
Hotel Le Manoir Bogota,4.0,(601) 2133980,"Calle 105 # 17A 82 Cerca A La Estación De Transmilinenio De La Calle 106, Bogota 110111 Colombia",,Very good,197536.0,677322
San Pablo Hotel,4.5,,"Avenida Calle 26 No. 38A11, Bogota 1245 Colombia",https://www.tripadvisor.com,Excellent,160875.0,2253841
Hotel Casa de la Vega,4.5,,"Carrera 4 # 12b-49, Bogota 111711 Colombia",https://www.tripadvisor.com,Excellent,327995.0,10494513
82Hostel,4.0,,"Carrera 19 # 80-14, Bogota 110111 Colombia",https://www.tripadvisor.com,Very good,35000.0,4493370
Hotel 104 Art Suites,4.5,,"Carrera 18A no 104-77 Usaquen, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,216705.0,625145
Hotel Virrey Park,4.0,,"Carrera 15 87 24 Parque El Virrey, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,156252.0,1838695
Apartamentos Living 55,4.0,,"Calle 55 Nro 10 - 73, Bogota Colombia",https://www.tripadvisor.com,Very good,141922.0,2499663
Hotel Cabrera Imperial,4.5,,"Calle 83 9 64, Bogota 110221 Colombia",https://www.tripadvisor.com,Excellent,534187.0,2078322
Botanico Hostel,4.5,,"Carrera 2 9 87, Bogota 111711 Colombia",https://www.tripadvisor.com,Excellent,154990.0,12693480
Hotel Rosales Plaza,4.5,,"Calle 71a # 5-47, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,268231.0,306522
Explora Hostels,4.5,,"Calle 12c # 3-19 Barrio La Candelaria, Bogota 250055 Colombia",https://www.tripadvisor.com,Excellent,110000.0,2542974
Hotel Fenix Real,4.0,,"Cra 19 No 71A - 30, Bogota Colombia",https://www.tripadvisor.com,Very good,81000.0,2477622
Hotel Parque 97 Suites,4.5,,"Calle 97 # 19-15, Bogota Colombia",https://www.tripadvisor.com,Excellent,231007.0,562565
NH Bogota Pavillon Royal,4.5,+1 212-245-5462,"Calle 94 No.11-45, Bogota 110221 Colombia",,Excellent,195458.0,1557212
Bogota Bed & Breakfast Inn,5.0,,"Calle 34 # 17 – 01 Teusaquillo, Bogota 110911 Colombia",https://www.tripadvisor.com,Excellent,458198.0,7161847
Selina La Candelaria Bogota,3.5,,"Calle 11 3 43 La Candelaria, Bogota 111711 Colombia",https://www.tripadvisor.com,Very good,312973.0,12715845
Hotel Bogota Resort,5.0,,"Calle 25 Bis, 39A-23, Bogota 111321 Colombia",https://www.tripadvisor.com,Excellent,130900.0,16814729
Suites 109,4.0,,"Calle 109A, 17-52, Bogota 11001 Colombia",https://www.tripadvisor.com,Very good,220249.0,1467141
Hotel Ferrovial Corferias,3.5,,"Carrera 40 22 59 Corferias, Bogota 111321 Colombia",https://www.tripadvisor.com,Very good,120000.0,2408787
Viaggio Teleport,4.0,,"Carrera 9 No 113-07, Bogota 110111 Colombia",https://www.tripadvisor.com,Very good,203048.0,6528206
Hotel Boutique San Sebastian,4.0,,"Calle 62 9 - 49 Calle 62 No 7 - 13, Bogota 110231 Colombia",https://www.tripadvisor.com,Very good,100000.0,2504274
Viajero Bogota Hostel & Spa,3.0,,"Carrera 3 20 35 Centro Historico, Bogota 110010 Colombia",https://www.tripadvisor.com,Average,176751.0,5777734
Suites 108,4.0,,"Cll 108 N. 16 - 05, Bogota 0001 Colombia",https://www.tripadvisor.com,Very good,198520.0,1820044
Ayenda 1043 Kafir,4.5,,"Calle 26B No. 36-28, Bogota 110010 Colombia",https://www.tripadvisor.com,Excellent,123705.0,3157991
Apartaestudios Los Andes,4.0,,"Carrera 19 No A 102 09, Bogota 110010 Colombia",https://www.tripadvisor.com,Very good,250800.0,4202051
Suites El Lago Inn,4.0,,"Calle 79 16a 21, Bogota 110221 Colombia",https://www.tripadvisor.com,Very good,134000.0,4492807
Hotel Boutique Feria Internacional,2.5,,"Calle 24 A Num 42 - 21, Bogota 111321 Colombia",https://www.tripadvisor.com,Average,53118.0,6621123
Hotel Zulita,1.0,,"13-16 Calle 48, Bogota 110321 Colombia",https://www.tripadvisor.com,Terrible,,23700636
Ayenda Hotel Las Palmas,1.0,,"Calle 17 No. 103-45, Bogota 110921 Colombia",https://www.tripadvisor.com,Terrible,84715.0,12842299
Viaggio Urbano,4.0,,"Transversal 4 # 43-95, Bogota 110111 Colombia",https://www.tripadvisor.com,Very good,180675.0,3427255
Plaza Suites Apartments,4.5,,"Carrera 16 No. 106-16, Bogota 110621 Colombia",https://www.tripadvisor.com,Excellent,228740.0,10266129
Embassy Park Hotel,3.5,,"Calle 24 44a 79 Avenida de La Esperanza, Bogota 111321 Colombia",https://www.tripadvisor.com,Very good,,1239508
Santafe Boutique Hotel,4.0,,"Calle 15 116 64, Bogota 110921 Colombia",https://www.tripadvisor.com,Very good,177220.0,302674
Hotel Travel Gold,3.5,,"Calle 71b No. 49A, Bogota 111071 Colombia",https://www.tripadvisor.com,Very good,167686.0,2703266
Casona de Usaquen Hotel Boutique,4.0,,"Calle 117 # 6-27, Usaquen, Bogota 110821 Colombia",https://www.tripadvisor.com,Very good,,6419758
Hotel Regency Suites La Feria,4.5,,"Carrera 43 22a 30, Bogota 111321 Colombia",https://www.tripadvisor.com,Excellent,180306.0,2306848
Graffiti Hostels Bogota,4.5,,"Carrera 3 # 11-32 Historical Center, Bogota 110121 Colombia",https://www.tripadvisor.com,Excellent,89573.0,6525473
La Sabana,3.5,,"Calle 2 3 no. 5-23, Bogota 250040 Colombia",https://www.tripadvisor.com,Very good,,2007830
Hotel Boutique City Center,3.5,,"Carrera 39 25 - 26, Bogota 111321 Colombia",https://www.tripadvisor.com,Very good,160000.0,4894808
